VER_ADJ;Veronese;Veronese;Veronese;;;;;;;;;;;x;
VER;Verona;Verona;Verona;;;;;;;;;;;x;
VER_proletarian_dictatorship;Verona;Verona;Verona;;;;;;;;;;;x;
VER_presidential_dictatorship;Verona;Verona;Verona;;;;;;;;;;;x;
VER_bourgeois_dictatorship;Verona;Verona;Verona;;;;;;;;;;;x;
VER_fascist_dictatorship;Verona;Verona;Verona;;;;;;;;;;;x;
VER_absolute_monarchy;Verona;Verona;Verona;;;;;;;;;;;x;
VER_prussian_constitutionalism;Verona;Verona;Verona;;;;;;;;;;;x;
VER_hms_government;Verona;Verona;Verona;;;;;;;;;;;x;
VER_democracy;Verona;Verona;Verona;;;;;;;;;;;x;
VER_theocracy;Verona;Verona;Verona;;;;;;;;;;;x;
VER_merchant_republic;Verona;Verona;Verona;;;;;;;;;;;x;
VER_feudal_monarchy;Verona;Verona;Verona;;;;;;;;;;;x;
VER_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
VER_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
VER_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
VER_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
VER_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
VER_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
VER_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
VER_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
VER_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
